Size, DTime, STime
100,  0.00036000000000000, 0.00003400000000000
200,  0.00272200000000000, 0.00010400000000000
400,  0.02155200000000000, 0.00038700000000000
500,  0.05089800000000000, 0.00086500000000000
600,  0.07247099999999999, 0.00106600000000000
700,  0.10751800000000000, 0.00103000000000000
800,  0.16430400000000001, 0.00128000000000000
900,  0.26297900000000002, 0.00174800000000000
1000, 0.34624500000000002, 0.00233800000000000
