0, 0.0397
1, 0.154072
2, 0.545073
3, 1.28898
4, 0.171519
5, 0.597821
6, 1.31911
7, 0.0562711
8, 0.215585
9, 0.722909
10, 1.32384
11, 0.0376883
12, 0.146492
13, 0.521588
14, 1.27019
15, 0.240614
16, 0.788771
17, 1.28861
18, 0.17291
19, 0.601947
20, 1.32077
21, 0.0497894
22, 0.191721
23, 0.656612
24, 1.33303
25, 0.00121307
26, 0.00484788
27, 0.019321
28, 0.0761642
29, 0.287254
30, 0.901471
31, 1.16793
32, 0.579525
33, 1.31055
34, 0.0895681
35, 0.334205
36, 1.00174
37, 0.996508
38, 1.00695
39, 0.985961
