0, 0.0397
1, 0.154072
2, 0.545073
3, 1.28898
4, 0.171519
5, 0.59782
6, 1.31911
7, 0.0562716
8, 0.215587
9, 0.722914
10, 1.32384
11, 0.0376953
12, 0.146518
13, 0.521671
14, 1.27026
15, 0.240352
16, 0.788101
17, 1.28909
18, 0.171085
19, 0.596529
20, 1.31858
21, 0.0583776
22, 0.223287
23, 0.743576
24, 1.31559
25, 0.0700353
26, 0.265426
27, 0.850352
28, 1.23211
29, 0.374147
30, 1.07663
31, 0.829125
32, 1.25415
33, 0.297907
34, 0.925382
35, 1.13253
36, 0.682238
37, 1.33261
38, 0.00290817
39, 0.0116073
