1 0.25 0.333333 1 0.25, 0, 0, 0, 0
2 0.3125 0.333333 1 0.0625, 0, 0, 0, 0
3 0.324074 0.333333 1 0.0277778, 0, 0, 0, 0
4 0.328125 0.333333 1 0.015625, 0, 0, 0, 0
5 0.33 0.333333 1 0.01, 0, 0, 0, 0
6 0.331019 0.333333 1 0.00694444, 0, 0, 0, 0
7 0.331633 0.333333 1 0.00510204, 0, 0, 0, 0
8 0.332031 0.333333 1 0.00390625, 0, 0, 0, 0
9 0.332305 0.333333 1 0.00308642, 0, 0, 0, 0
10 0.3325 0.333333 1 0.0025, 0, 0, 0, 0
11 0.332645 0.333333 1 0.00206612, 0, 0, 0, 0
12 0.332755 0.333333 1 0.00173611, 0, 0, 0, 0
13 0.33284 0.333333 1 0.00147929, 0, 0, 0, 0
14 0.332908 0.333333 1 0.00127551, 0, 0, 0, 0
15 0.332963 0.333333 1 0.00111111, 0, 0, 0, 0
16 0.333008 0.333333 1 0.000976562, 1, 0, 0, 0
17 0.333045 0.333333 1 0.000865052, 1, 0, 0, 0
18 0.333076 0.333333 1 0.000771605, 1, 0, 0, 0
19 0.333102 0.333333 1 0.000692521, 1, 0, 0, 0
20 0.333125 0.333333 1 0.000625, 1, 0, 0, 0
21 0.333144 0.333333 1 0.000566893, 1, 0, 0, 0
22 0.333161 0.333333 1 0.000516529, 1, 0, 0, 0
23 0.333176 0.333333 1 0.00047259, 1, 0, 0, 0
24 0.333189 0.333333 1 0.000434028, 1, 0, 0, 0
25 0.3332 0.333333 1 0.0004, 1, 0, 0, 0
26 0.33321 0.333333 1 0.000369822, 1, 0, 0, 0
27 0.333219 0.333333 1 0.000342936, 1, 0, 0, 0
28 0.333227 0.333333 1 0.000318878, 1, 0, 0, 0
29 0.333234 0.333333 1 0.000297265, 1, 0, 0, 0
30 0.333241 0.333333 1 0.000277778, 1, 0, 0, 0
31 0.333247 0.333333 1 0.000260146, 1, 0, 0, 0
