1 1.41421 1.97716 3 0.292893, 0, 0, 0, 0
2 1.57735 1.98385 4 0.211325, 0, 0, 0, 0
4 1.69884 1.98858 5 0.150578, 0, 0, 0, 0
8 1.78646 1.99193 6 0.106769, 0, 0, 0, 0
16 1.84886 1.99429 7 0.0755717, 0, 0, 0, 0
32 1.89309 1.99596 8 0.0534558, 0, 0, 0, 0
64 1.92439 1.99715 9 0.0378036, 0, 0, 0, 0
128 1.94654 1.99798 10 0.0267324, 0, 0, 0, 0
256 1.96219 1.99857 11 0.0189029, 0, 0, 0, 0
512 1.97327 1.99899 12 0.0133665, 0, 0, 0, 0
1024 1.9811 1.99929 13 0.00945153, 0, 0, 0, 0
2048 1.98663 1.9995 14 0.00668325, 0, 0, 0, 0
4096 1.99055 1.99964 15 0.00472577, 0, 0, 0, 0
8192 1.99332 1.99975 16 0.00334162, 0, 0, 0, 0
16384 1.99527 1.99982 17 0.00236289, 0, 0, 0, 0
32768 1.99666 1.99987 18 0.00167081, 0, 0, 0, 0
65536 1.99764 1.99991 19 0.00118144, 0, 0, 0, 0
131072 1.99833 1.99994 20 0.000835406, 1, 0, 0, 0
262144 1.99882 1.99996 21 0.000590721, 1, 0, 0, 0
524288 1.99916 1.99997 22 0.000417703, 1, 0, 0, 0
1048576 1.99941 1.99998 23 0.000295361, 1, 0, 0, 0
2097152 1.99958 1.99998 24 0.000208852, 1, 0, 0, 0
4194304 1.9997 1.99999 25 0.00014768, 1, 0, 0, 0
8388608 1.99979 1.99999 26 0.000104426, 1, 0, 0, 0
16777216 1.99985 1.99999 27 7.38402e-05, 1, 1, 0, 0
33554432 1.9999 2 28 5.22129e-05, 1, 1, 0, 0
67108864 1.99993 2 29 3.69201e-05, 1, 1, 0, 0
134217728 1.99995 2 30 2.61064e-05, 1, 1, 0, 0
268435456 1.99996 2 31 1.846e-05, 1, 1, 0, 0
536870912 1.99997 2 32 1.30532e-05, 1, 1, 0, 0
1073741824 1.99998 2 33 9.23002e-06, 1, 1, 1, 0
